GENESIS-Tabelle: 12211-9018
Durchschnittliche Körpergröße, durchschnittliches;;;;;;;;
Körpergewicht, durchschn. Body-Mass-Index: Deutschland,;;;;;;;;
Jahre (bis 2017), Geschlecht, Familienstand, Altersgruppen;;;;;;;;
Mikrozensus;;;;;;;;
Deutschland;;;;;;;;
;;;2013;2013;2013;2017;2017;2017
;;;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index
;;;m;kg;kg/qm;m;kg;kg/qm
weiblich;ledig;50 bis unter 55 Jahre;1,67;69,8;25,1;1,67;70,8;25,3
weiblich;ledig;55 bis unter 60 Jahre;1,65;70,1;25,6;1,66;70,4;25,5
weiblich;ledig;60 bis unter 65 Jahre;1,65;70,3;26,0;1,65;69,9;25,6
weiblich;ledig;65 bis unter 70 Jahre;1,64;70,1;25,9;1,64;70,9;26,2
weiblich;ledig;70 bis unter 75 Jahre;1,64;68,9;25,6;1,64;70,5;26,2
weiblich;ledig;75 Jahre und mehr;1,62;65,7;25,1;1,62;66,3;25,2
weiblich;ledig;Insgesamt;1,67;65,2;23,3;1,67;65,9;23,5
weiblich;verheiratet;18 bis unter 20 Jahre;1,67;61,4;21,9;1,65;63,3;23,3
weiblich;verheiratet;20 bis unter 25 Jahre;1,66;65,5;23,8;1,65;64,5;23,7
weiblich;verheiratet;25 bis unter 30 Jahre;1,67;66,1;23,9;1,66;66,7;24,1
weiblich;verheiratet;30 bis unter 35 Jahre;1,67;67,0;24,0;1,67;67,5;24,2
weiblich;verheiratet;35 bis unter 40 Jahre;1,67;67,6;24,2;1,67;67,9;24,3
weiblich;verheiratet;40 bis unter 45 Jahre;1,67;68,1;24,4;1,67;68,6;24,6
weiblich;verheiratet;45 bis unter 50 Jahre;1,67;68,7;24,7;1,67;69,3;24,8
weiblich;verheiratet;50 bis unter 55 Jahre;1,66;69,7;25,3;1,67;70,0;25,2
weiblich;verheiratet;55 bis unter 60 Jahre;1,65;70,2;25,8;1,66;70,2;25,5
weiblich;verheiratet;60 bis unter 65 Jahre;1,64;71,2;26,3;1,65;70,8;26,0
weiblich;verheiratet;65 bis unter 70 Jahre;1,64;71,0;26,3;1,64;71,0;26,4
weiblich;verheiratet;70 bis unter 75 Jahre;1,64;70,5;26,2;1,64;70,0;26,0
weiblich;verheiratet;75 Jahre und mehr;1,63;69,1;26,2;1,63;68,9;26,0
weiblich;verheiratet;Insgesamt;1,65;69,3;25,3;1,66;69,4;25,3
weiblich;verwitwet;18 bis unter 20 Jahre;/;/;/;-;-;-
weiblich;verwitwet;20 bis unter 25 Jahre;-;-;-;/;/;/
weiblich;verwitwet;25 bis unter 30 Jahre;/;/;/;/;/;/
weiblich;verwitwet;30 bis unter 35 Jahre;/;/;/;/;/;/
weiblich;verwitwet;35 bis unter 40 Jahre;1,65;69,3;25,4;1,66;68,3;24,6
weiblich;verwitwet;40 bis unter 45 Jahre;1,66;68,8;25,1;1,66;68,6;24,8
weiblich;verwitwet;45 bis unter 50 Jahre;1,66;70,3;25,5;1,66;72,4;26,1
weiblich;verwitwet;50 bis unter 55 Jahre;1,65;71,9;26,3;1,66;71,9;26,2
weiblich;verwitwet;55 bis unter 60 Jahre;1,64;72,3;26,8;1,65;72,1;26,5
weiblich;verwitwet;60 bis unter 65 Jahre;1,64;72,9;27,2;1,64;73,0;27,1
weiblich;verwitwet;65 bis unter 70 Jahre;1,63;72,2;27,1;1,63;72,6;27,2
weiblich;verwitwet;70 bis unter 75 Jahre;1,63;71,7;26,9;1,63;72,1;27,0
weiblich;verwitwet;75 Jahre und mehr;1,61;68,0;26,1;1,62;68,4;26,2
weiblich;verwitwet;Insgesamt;1,62;69,6;26,4;1,62;69,9;26,5
