GENESIS-Tabelle: 12211-9019
Body-Mass-Index: Deutschland, Jahre (bis 2017),;;;;;;;;;;
Gewichtsklassifikation, Geschlecht, Familienstand,;;;;;;;;;;
Altersgruppen;;;;;;;;;;
Mikrozensus;;;;;;;;;;
Deutschland;;;;;;;;;;
;;;2013;2013;2013;2013;2017;2017;2017;2017
;;;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index
;;;Unter 18,5 kg/qm (Untergewicht);30 kg/qm und mehr (Adipositas);18,5 bis unter 25 kg/qm (Normalgewicht);25 bis unter 30 kg/qm (Übergewicht);Unter 18,5 kg/qm (Untergewicht);30 kg/qm und mehr (Adipositas);18,5 bis unter 25 kg/qm (Normalgewicht);25 bis unter 30 kg/qm (Übergewicht)
;;;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent
Insgesamt;ledig;45 bis unter 50 Jahre;1,7;16,1;46,2;36,1;1,8;17,1;44,8;36,3
Insgesamt;ledig;50 bis unter 55 Jahre;1,6;18,5;43,2;36,7;1,7;19,1;42,1;37,1
Insgesamt;ledig;55 bis unter 60 Jahre;2,0;20,9;39,5;37,6;1,7;19,7;40,5;38,1
Insgesamt;ledig;60 bis unter 65 Jahre;2,2;22,6;38,5;36,7;1,9;22,7;40,1;35,2
Insgesamt;ledig;65 bis unter 70 Jahre;/;20,2;38,1;39,9;/;24,9;36,9;36,8
Insgesamt;ledig;70 bis unter 75 Jahre;/;19,8;41,0;37,3;/;22,9;37,8;37,1
Insgesamt;ledig;75 Jahre und mehr;3,6;13,7;46,5;36,2;2,6;16,7;44,8;35,9
Insgesamt;ledig;Insgesamt;3,6;10,2;59,0;27,2;3,4;11,4;56,9;28,3
Insgesamt;verheiratet;18 bis unter 20 Jahre;/;/;77,8;/;/;/;/;/
Insgesamt;verheiratet;20 bis unter 25 Jahre;5,9;11,1;55,6;27,4;5,3;9,5;57,6;27,7
Insgesamt;verheiratet;25 bis unter 30 Jahre;3,4;10,9;56,4;29,2;3,2;12,7;53,1;31,0
Insgesamt;verheiratet;30 bis unter 35 Jahre;2,8;12,2;53,9;31,2;2,4;13,0;52,0;32,7
Insgesamt;verheiratet;35 bis unter 40 Jahre;1,9;12,6;51,0;34,5;1,9;13,6;49,8;34,7
Insgesamt;verheiratet;40 bis unter 45 Jahre;1,4;14,0;48,4;36,1;1,6;15,6;46,4;36,4
Insgesamt;verheiratet;45 bis unter 50 Jahre;1,4;15,0;45,7;37,9;1,3;15,9;44,0;38,8
Insgesamt;verheiratet;50 bis unter 55 Jahre;1,1;17,7;41,0;40,2;1,2;17,8;41,7;39,2
Insgesamt;verheiratet;55 bis unter 60 Jahre;1,0;19,7;37,3;42,1;1,1;19,3;38,6;41,0
Insgesamt;verheiratet;60 bis unter 65 Jahre;0,8;22,4;33,0;43,8;1,0;21,4;35,4;42,2
Insgesamt;verheiratet;65 bis unter 70 Jahre;0,8;21,5;32,8;44,9;0,8;22,9;32,4;43,9
Insgesamt;verheiratet;70 bis unter 75 Jahre;0,8;19,5;33,5;46,2;1,0;20,2;34,6;44,2
Insgesamt;verheiratet;75 Jahre und mehr;1,2;17,0;35,8;46,0;1,2;17,2;37,1;44,5
Insgesamt;verheiratet;Insgesamt;1,3;17,3;40,8;40,6;1,4;17,8;40,8;40,0
Insgesamt;verwitwet;18 bis unter 20 Jahre;-;-;/;/;-;-;-;-
Insgesamt;verwitwet;20 bis unter 25 Jahre;-;-;/;-;-;-;/;/
Insgesamt;verwitwet;25 bis unter 30 Jahre;-;/;/;/;/;/;/;/
Insgesamt;verwitwet;30 bis unter 35 Jahre;/;-;/;/;-;/;/;/
Insgesamt;verwitwet;35 bis unter 40 Jahre;-;/;48,5;/;-;/;60,0;/
Insgesamt;verwitwet;40 bis unter 45 Jahre;/;/;52,6;29,2;/;/;51,1;31,4
Insgesamt;verwitwet;45 bis unter 50 Jahre;/;14,4;47,8;35,2;/;20,5;45,3;31,9
Insgesamt;verwitwet;50 bis unter 55 Jahre;/;19,8;43,9;34,9;/;20,3;44,7;33,5
Insgesamt;verwitwet;55 bis unter 60 Jahre;/;23,7;38,2;36,3;/;22,9;42,4;33,4
Insgesamt;verwitwet;60 bis unter 65 Jahre;/;25,5;33,8;39,4;/;26,6;33,7;38,2
Insgesamt;verwitwet;65 bis unter 70 Jahre;/;24,8;33,4;40,4;/;27,3;34,8;36,7
Insgesamt;verwitwet;70 bis unter 75 Jahre;1,3;23,1;34,1;41,5;1,1;24,6;34,4;39,9
Insgesamt;verwitwet;75 Jahre und mehr;2,2;17,9;39,5;40,4;1,9;18,7;39,4;40,0
Insgesamt;verwitwet;Insgesamt;1,9;20,1;37,9;40,1;1,7;21,0;38,4;38,9
Insgesamt;geschieden;18 bis unter 20 Jahre;/;-;-;-;-;-;/;/
Insgesamt;geschieden;20 bis unter 25 Jahre;/;/;/;/;/;/;/;/
Insgesamt;geschieden;25 bis unter 30 Jahre;/;15,6;58,2;20,2;/;/;55,5;25,6
Insgesamt;geschieden;30 bis unter 35 Jahre;/;12,7;59,9;23,7;/;14,1;51,5;31,7
Insgesamt;geschieden;35 bis unter 40 Jahre;/;16,1;53,4;28,8;/;13,4;52,9;31,3
Insgesamt;geschieden;40 bis unter 45 Jahre;1,4;14,5;50,0;34,1;/;15,2;46,6;36,6
Insgesamt;geschieden;45 bis unter 50 Jahre;1,6;14,9;48,4;35,2;1,4;16,2;46,7;35,7
Insgesamt;geschieden;50 bis unter 55 Jahre;1,2;16,6;45,3;36,9;1,6;17,1;44,0;37,4
Insgesamt;geschieden;55 bis unter 60 Jahre;1,5;19,3;40,9;38,4;1,4;20,4;40,3;37,9
Insgesamt;geschieden;60 bis unter 65 Jahre;1,4;22,8;37,2;38,6;1,7;22,1;38,1;38,1
Insgesamt;geschieden;65 bis unter 70 Jahre;/;22,2;37,1;39,3;1,3;22,7;35,5;40,4
Insgesamt;geschieden;70 bis unter 75 Jahre;/;19,4;38,4;40,5;/;20,9;37,2;40,2
Insgesamt;geschieden;75 Jahre und mehr;2,5;19,2;38,9;39,4;2,3;18,7;38,8;40,2
Insgesamt;geschieden;Insgesamt;1,6;17,9;44,1;36,4;1,7;18,7;42,2;37,5
Insgesamt;Insgesamt;18 bis unter 20 Jahre;8,5;3,5;74,4;13,6;8,6;4,2;72,3;14,8
Insgesamt;Insgesamt;20 bis unter 25 Jahre;5,3;5,6;69,5;19,6;5,3;6,0;68,4;20,3
Insgesamt;Insgesamt;25 bis unter 30 Jahre;3,7;8,0;62,9;25,4;3,3;9,4;59,9;27,3
Insgesamt;Insgesamt;30 bis unter 35 Jahre;2,8;10,9;56,8;29,6;2,5;11,9;54,6;31,1
Insgesamt;Insgesamt;35 bis unter 40 Jahre;2,0;12,7;52,1;33,3;2,0;13,3;50,9;33,8
Insgesamt;Insgesamt;40 bis unter 45 Jahre;1,6;14,2;48,8;35,4;1,6;15,7;46,6;36,1
Insgesamt;Insgesamt;45 bis unter 50 Jahre;1,5;15,2;46,2;37,2;1,4;16,2;44,5;37,8
Insgesamt;Insgesamt;50 bis unter 55 Jahre;1,2;17,7;42,1;39,1;1,4;18,0;42,2;38,5
Insgesamt;Insgesamt;55 bis unter 60 Jahre;1,2;20,0;38,1;40,8;1,2;19,7;39,3;39,8
Insgesamt;Insgesamt;60 bis unter 65 Jahre;1,0;22,7;34,0;42,3;1,2;22,0;36,0;40,7
Insgesamt;Insgesamt;65 bis unter 70 Jahre;1,0;21,9;33,6;43,6;1,0;23,5;33,3;42,2
Insgesamt;Insgesamt;70 bis unter 75 Jahre;1,0;20,2;34,3;44,5;1,1;21,2;35,0;42,8
Insgesamt;Insgesamt;75 Jahre und mehr;1,8;17,3;37,9;43,0;1,6;17,8;38,3;42,2
Insgesamt;Insgesamt;Insgesamt;2,0;15,7;45,7;36,6;2,0;16,3;45,3;36,4
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 27.05.2024 / 12:01:54
